epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8935,4.02879,8.06885,78.8411,0.01948,15.4683,0.18455,0.10032,0.10356,0.05143,0.18076,0.08,0.08424,0.03274,2.86425,11.8065,119.872,0.02957,0,4.16667e-06,4.16667e-06,0.0958375
2,21.0488,3.90708,8.67391,82.9565,0.02042,15.0524,0.00504,0.4,0.01052,0.0027,0.00056,0.16,0.00035,0.0001,6.22687,18.353,202.526,0.07702,0,9.13642e-06,9.13642e-06,0.0908425
3,23.8197,5.85544,9.02346,71.1375,0.03081,12.8483,0.00153,0.44,0.00365,0.00111,0,0,0,0,7.67915,34.8071,108.134,0.11258,0,1.40732e-05,1.40732e-05,0.0858474
4,26.5369,4.81916,8.09513,60.1723,0.02584,12.2336,0.0025,0.72,0.0129,0.00538,0,0,0,0,6.39267,23.5529,125.978,0.08953,0,1.89769e-05,1.89769e-05,0.0808523
5,29.229,4.89315,7.61218,55.0518,0.02539,10.8043,0.0025,0.72,0.02366,0.008,0.00083,0.24,0.00171,0.00035,5.49456,21.3855,122.525,0.06834,0,2.38477e-05,2.38477e-05,0.0758572
6,31.9455,4.20807,6.86685,48.9406,0.02317,9.8178,0.08742,0.27972,0.15001,0.04795,0.02591,0.08,0.02391,0.00459,5.32437,36.3721,189.885,0.06481,0,2.86854e-05,2.86854e-05,0.070862
7,34.6729,4.67083,7.25276,49.4262,0.02165,9.45508,0.08563,0.12,0.05553,0.01426,0.00338,0.2,0.00333,0.00066,5.89581,36.2017,172.079,0.07203,0,3.34902e-05,3.34902e-05,0.0658668
8,37.4352,4.21774,6.77733,42.5116,0.02241,8.67586,0.00236,0.68,0.03374,0.00956,0.00083,0.24,0.00225,0.0003,5.4513,28.4534,89.2768,0.0675,0,3.82619e-05,3.82619e-05,0.0608716
9,40.1842,4.31536,6.09418,43.3272,0.02266,8.21249,0.00245,0.68,0.06971,0.01529,0.0013,0.36,0.00675,0.00085,5.34128,23.1629,80.0203,0.07281,0,4.30007e-05,4.30007e-05,0.0558763
10,43.0426,4.25959,7.0124,41.4798,0.02058,7.19213,0.00301,0.76,0.14305,0.05386,0.00159,0.4,0.0457,0.0065,4.29561,24.7754,71.0684,0.05423,0,4.77064e-05,4.77064e-05,0.050881
11,45.7775,4.30396,6.64012,39.8186,0.02438,7.06687,0.48515,0.16,0.23353,0.10665,0.46212,0.12,0.12345,0.05308,3.74293,22.6232,62.8994,0.04239,0,5.23792e-05,5.23792e-05,0.0458857
12,49.0724,4.14291,6.50058,34.5128,0.0227,7.09037,0.41116,0.24,0.23526,0.12149,0.33334,0.2,0.16885,0.07665,3.68775,21.5257,60.0912,0.0409,0,5.70189e-05,5.70189e-05,0.0408904
13,52.3,4.14158,6.35806,34.9564,0.02164,6.53982,0.36188,0.31769,0.29249,0.15397,0.48696,0.2,0.22759,0.11355,3.68852,15.8955,55.9141,0.03993,0,6.16257e-05,6.16257e-05,0.035895
14,55.5948,4.08591,6.48943,37.767,0.02126,7.38109,0.43268,0.28,0.32563,0.14682,0.56033,0.28,0.24283,0.11642,4.2281,15.0337,53.5093,0.04985,0,6.61994e-05,6.61994e-05,0.0308995
15,58.3354,3.87311,5.80734,34.7927,0.01802,7.5334,0.60833,0.3112,0.31202,0.13134,0.58037,0.24,0.227,0.10794,4.34687,15.3718,57.5524,0.0503,0,7.07402e-05,7.07402e-05,0.0259041
16,61.148,3.32139,5.64406,30.9566,0.01482,5.67823,0.60126,0.24,0.28124,0.11422,0.66068,0.23425,0.20827,0.09442,4.39826,14.3769,60.5145,0.0513,0,7.52479e-05,7.52479e-05,0.0209086
17,63.8617,3.82635,6.62619,33.1698,0.02049,6.22069,0.56481,0.32,0.28446,0.12458,0.65939,0.23301,0.20355,0.08306,4.68633,14.2914,57.0519,0.05508,0,7.97227e-05,7.97227e-05,0.0159131
18,66.5934,3.55693,5.68074,31.2334,0.01441,6.38106,0.50812,0.36,0.36176,0.14214,0.48538,0.32,0.24302,0.08585,4.44526,10.228,54.8046,0.05001,0,8.41644e-05,8.41644e-05,0.0109175
19,69.3653,3.72157,5.81524,29.8494,0.01658,6.64383,0.51055,0.48,0.43864,0.17763,0.41289,0.36,0.27239,0.10536,4.77577,9.3066,48.5038,0.05641,0,8.85732e-05,8.85732e-05,0.00592191
20,72.6559,3.61078,6.01044,29.4827,0.01852,6.7988,0.73109,0.44,0.5312,0.22112,0.59393,0.36,0.37694,0.18937,4.78562,8.01643,42.8151,0.05833,0,9.29489e-05,9.29489e-05,0.000926282
21,76.0148,3.39509,5.59727,31.2442,0.01852,6.19135,0.59916,0.52,0.5429,0.23884,0.57044,0.44,0.40474,0.21767,4.69313,7.6728,41.5226,0.05657,0,9.34e-05,9.34e-05,9.34e-05
22,79.2752,3.35448,5.06201,27.8338,0.01451,6.62734,0.69934,0.52,0.57476,0.26377,0.58442,0.50668,0.46919,0.28503,4.68868,7.87096,39.2513,0.05729,0,9.307e-05,9.307e-05,9.307e-05
